,Pros,,,,,,,,,,,,,,
1,0.069706 , , , ,like:0.022487,family:0.020348,feel:0.018728,care:0.015519,life:0.014250,day:0.013729,best:0.012617,love:0.012599,job:0.012024,team:0.011622,family
2,0.064555 , , , ,team:0.021555,culture:0.015659,product:0.014051,leadership:0.013997,growth:0.009522,new:0.009208,opportunity:0.006966,smart:0.006839,strong:0.006756,change:0.006716,team culture of growth
3,0.060931 , , , ,benefit:0.034661,environment:0.027559,flexible:0.023065,balance:0.021105,management:0.019256,pay:0.018441,friendly:0.018273,nice:0.017846,life:0.017771,hour:0.014868,benefit
4,0.057772 , , , ,team:0.028837,culture:0.019020,hard:0.014755,environment:0.014590,value:0.009721,leadership:0.009698,management:0.009353,growth:0.008180,best:0.007551,opportunity:0.007478,culture
5,0.056906 , , , ,management:0.024850,team:0.023499,help:0.015296,staff:0.012315,training:0.011280,support:0.010126,care:0.010091,manager:0.009731,need:0.009365,time:0.007922,management
6,0.056806 , , , ,new:0.025229,management:0.016401,opportunity:0.016095,team:0.013875,grow:0.012226,idea:0.011502,open:0.011308,help:0.010857,learn:0.009998,thing:0.008842,openness 
7,0.055247 , , , ,opportunity:0.048111,growth:0.021370,benefit:0.020352,career:0.018501,training:0.017038,pay:0.014023,management:0.014004,job:0.013509,lot:0.011321,advancement:0.010246,career growth
8,0.054708 , , , ,hour:0.032057,time:0.030423,job:0.022754,pay:0.021222,day:0.020643,flexible:0.020182,schedule:0.017658,week:0.011390,easy:0.011112,paid:0.008622,schedule
9,0.054357 , , , ,project:0.017921,opportunity:0.016150,team:0.012600,client:0.012560,learn:0.011969,experience:0.011665,different:0.010529,skill:0.008394,business:0.007432,new:0.006599,learning opportunity
10,0.053935 , , , ,environment:0.030787,fun:0.020706,opportunity:0.019173,place:0.018215,team:0.016772,friendly:0.013557,learn:0.013267,job:0.012661,fast:0.011868,new:0.011628,fun and friendly
11,0.051823 , , , ,job:0.015442,like:0.009853,time:0.009760,thing:0.009697,review:0.009257,place:0.008027,management:0.007525,hard:0.007086,want:0.006588,know:0.006499,incoherent
12,0.051685 , , , ,opportunity:0.023256,customer:0.014458,business:0.012993,growth:0.011971,service:0.011859,benefit:0.011781,client:0.011668,industry:0.010641,culture:0.010552,product:0.009503,incoherent
13,0.046153 , , , ,customer:0.021278,sale:0.016658,job:0.015361,product:0.013522,store:0.011274,manager:0.010852,discount:0.010618,pay:0.009972,fun:0.009869,like:0.008734,sale
14,0.045391 , , , ,benefit:0.059363,pay:0.023854,time:0.020874,health:0.020493,paid:0.017033,insurance:0.016681,vacation:0.015217,year:0.013814,day:0.011561,bonus:0.010505,benefits
15,0.045114 , , , ,free:0.026199,office:0.018996,lunch:0.015162,fun:0.012131,event:0.011725,day:0.010867,food:0.010275,snack:0.008701,like:0.008617,nice:0.008184,perks
16,0.041444 , , , ,year:0.022124,business:0.008971,worked:0.008837,company:0.008296,office:0.008147,firm:0.008082,place:0.007568,industry:0.007377,management:0.007129,best:0.006941,business-characteristics
17,0.037773 , , , ,year:0.018228,job:0.017105,experience:0.014711,time:0.010879,process:0.010252,position:0.009856,interview:0.009068,worked:0.008957,team:0.008347,training:0.007825,experience
18,0.034340 , , , ,care:0.019748,staff:0.015661,patient:0.014084,benefit:0.012011,job:0.009166,health:0.008811,community:0.008659,service:0.007693,family:0.007347,opportunity:0.006830,service
19,0.034173 , , , ,student:0.025409,opportunity:0.015157,school:0.014592,experience:0.011568,staff:0.010855,program:0.010013,training:0.009618,job:0.008637,college:0.007807,education:0.007455,training
20,0.027181 , , , ,technology:0.017085,product:0.013951,new:0.012849,industry:0.007994,software:0.006057,best:0.005876,edge:0.005196,team:0.005184,world:0.005111,market:0.004998,technology
,Cons,,,,,,,,,,,,,,
1,0.073960 , , , ,management:0.047129,manager:0.016167,like:0.009976,upper:0.009484,staff:0.008855,poor:0.008177,lack:0.008095,leadership:0.007620,environment:0.007337,hr:0.006915,
2,0.066207 , , , ,time:0.018299,con:0.015877,change:0.015491,thing:0.013399,growing:0.012528,need:0.012282,job:0.011854,hard:0.011567,like:0.011329,environment:0.009841,
3,0.065158 , , , ,hour:0.055674,time:0.038615,day:0.031566,week:0.019965,long:0.018543,pay:0.013465,shift:0.011877,life:0.011665,schedule:0.011086,job:0.010791,
4,0.063858 , , , ,management:0.022291,change:0.018208,new:0.014135,year:0.011811,leadership:0.010311,business:0.009711,lack:0.009049,team:0.008795,product:0.008418,sale:0.007068,
5,0.061883 , , , ,sale:0.020167,job:0.015646,manager:0.013084,like:0.012600,time:0.012470,day:0.011216,management:0.010308,customer:0.009893,want:0.008872,know:0.008286,
6,0.061739 , , , ,like:0.012756,year:0.012553,place:0.008985,job:0.008833,thing:0.007816,time:0.007665,management:0.007495,want:0.007433,way:0.006804,know:0.006470,
7,0.059778 , , , ,time:0.019522,management:0.018526,training:0.012682,need:0.010914,process:0.010693,team:0.010410,project:0.010356,system:0.008196,department:0.007783,communication:0.007597,
8,0.054218 , , , ,client:0.008586,business:0.008449,team:0.007236,life:0.007203,management:0.006494,balance:0.006322,sale:0.006117,leadership:0.006082,culture:0.005768,service:0.005405,
9,0.049783 , , , ,job:0.027645,position:0.019308,year:0.016060,new:0.014532,pay:0.011400,manager:0.011148,hire:0.010259,time:0.010020,experience:0.009523,training:0.008098,
10,0.049385 , , , ,pay:0.053369,low:0.023865,salary:0.017412,year:0.015879,raise:0.015743,high:0.014589,benefit:0.013505,management:0.011924,bonus:0.010992,hour:0.010824,
11,0.049055 , , , ,review:0.011319,time:0.011154,year:0.009348,month:0.007535,day:0.006867,job:0.006291,told:0.006202,week:0.005856,pay:0.005621,hr:0.005566,
12,0.047716 , , , ,management:0.025124,manager:0.023468,year:0.015195,raise:0.013396,promotion:0.012144,level:0.010056,hard:0.009834,based:0.008555,pay:0.008432,team:0.008365,
13,0.047557 , , , ,customer:0.034630,store:0.025674,manager:0.016078,hour:0.013465,time:0.012368,sale:0.010923,management:0.010054,service:0.009128,pay:0.007471,associate:0.005452,
14,0.045791 , , , ,like:0.015400,time:0.011870,day:0.011238,job:0.009412,management:0.008058,break:0.007881,office:0.007687,hour:0.007548,pay:0.006132,thing:0.005738,
15,0.045379 , , , ,management:0.025792,opportunity:0.021763,growth:0.018692,pay:0.018596,lack:0.017818,career:0.016528,little:0.015120,advancement:0.014727,low:0.012711,room:0.011575,
16,0.042037 , , , ,office:0.021609,like:0.009855,team:0.008370,small:0.007418,area:0.006812,company:0.006189,department:0.006140,culture:0.006007,large:0.005948,location:0.005829,
17,0.035938 , , , ,staff:0.020332,student:0.017139,time:0.012437,pay:0.011576,school:0.011384,high:0.011182,patient:0.010347,teacher:0.009512,care:0.008809,management:0.008331,
18,0.032894 , , , ,benefit:0.030464,time:0.020787,year:0.017443,health:0.016818,insurance:0.016610,pay:0.014728,day:0.014060,vacation:0.012205,sick:0.010590,plan:0.010025,
19,0.027718 , , , ,pay:0.017632,time:0.014318,hour:0.012702,job:0.008964,parking:0.008926,location:0.008857,office:0.007299,area:0.007220,day:0.007013,long:0.006958,
20,0.019943 , , , ,system:0.010700,old:0.010469,technology:0.009756,product:0.008977,like:0.008965,software:0.007280,use:0.006394,new:0.004933,business:0.004668,code:0.004576,